1.19	0.40	1.28	0.19	1.27	2.31	12.21	0.02	0.20
1.11	0.44	1.19	0.10	1.19	2.06	12.65	0.02	0.20
0.70	0.21	0.83	0.12	0.82	1.85	12.90	0.01	0.20
0.68	0.26	0.70	0.11	0.69	1.87	12.80	0.01	0.20
0.70	0.25	0.80	0.14	0.79	1.89	12.80	0.01	0.20
1.36	0.43	1.23	0.15	1.22	2.13	12.53	0.02	0.20
1.14	0.41	1.32	0.20	1.31	2.19	12.41	0.02	0.20
1.34	0.58	1.26	0.24	1.24	2.41	13.03	0.02	0.20
1.21	0.52	1.08	0.10	1.08	2.52	14.01	0.02	0.20
1.82	0.65	1.54	0.25	1.53	3.06	14.32	0.02	0.20
1.49	0.40	1.32	0.18	1.33	3.10	14.29	0.01	0.20
0.78	0.27	0.73	0.13	0.72	3.08	7.06	0.02	0.20
0.86	0.27	0.85	0.17	0.84	3.11	7.31	0.02	0.20
0.67	0.20	0.81	0.18	0.79	3.14	7.62	0.02	0.20

