0.99	0.32	1.10	0.99	0.47	0.73	4.49	0.09	0.25
0.97	0.33	0.95	0.76	0.57	0.75	3.82	0.09	0.25
1.51	0.43	1.57	0.71	1.41	1.74	6.37	0.06	0.25
1.31	0.83	0.77	0.39	0.66	2.46	7.01	0.07	0.25
1.60	0.72	1.10	0.76	0.80	2.12	7.04	0.08	0.25
1.43	0.79	0.88	0.45	0.76	1.89	6.19	0.07	0.25
1.67	0.97	0.88	0.39	0.79	2.51	6.72	0.07	0.25
1.82	0.95	1.21	0.61	1.05	2.64	6.63	0.07	0.25
2.06	1.00	1.38	0.63	1.22	2.57	6.68	0.07	0.25
1.69	0.86	1.38	0.85	1.09	2.10	7.70	0.08	0.25
2.39	1.55	1.25	0.54	1.13	2.04	7.96	0.07	0.25
2.04	1.13	1.21	0.49	1.11	2.17	8.28	0.07	0.25
1.58	0.70	1.22	0.69	1.01	2.28	8.52	0.09	0.25
1.51	0.73	1.17	0.74	0.90	2.39	8.62	0.09	0.25
2.22	0.98	1.74	0.96	1.46	3.96	10.67	0.07	0.25
2.59	1.09	2.03	1.10	1.70	4.06	10.83	0.07	0.25
2.77	1.30	2.84	1.79	2.22	3.28	10.78	0.07	0.25
2.74	1.27	2.65	1.60	2.12	3.17	11.55	0.08	0.25
2.70	1.24	2.58	1.54	2.08	3.01	11.02	0.08	0.25
2.03	0.85	1.80	0.93	1.54	3.00	10.67	0.08	0.25
2.12	0.92	1.65	1.00	1.31	3.15	11.13	0.07	0.25
1.98	0.97	1.69	1.02	1.36	2.84	11.13	0.07	0.25
2.29	1.17	2.09	1.22	1.70	2.71	10.67	0.09	0.25
2.18	1.00	2.48	1.72	1.80	1.96	10.67	0.08	0.25
1.95	0.91	2.42	1.87	1.54	2.03	10.67	0.09	0.25
2.14	0.90	2.42	1.94	1.46	1.96	10.67	0.09	0.25
2.23	0.97	2.18	1.35	1.71	1.99	10.67	0.09	0.25
1.90	0.93	1.47	1.13	0.94	1.94	10.67	0.09	0.25
1.94	1.01	1.84	1.43	1.16	2.06	10.59	0.10	0.25
2.12	0.69	2.06	1.42	1.50	1.66	11.90	0.08	0.25
1.89	0.64	1.83	1.39	1.21	1.69	11.34	0.08	0.25
1.85	0.61	1.71	1.30	1.12	1.73	11.63	0.08	0.25
1.89	0.72	1.79	0.97	1.51	1.69	11.47	0.08	0.25
2.00	0.78	2.00	1.34	1.49	1.71	11.13	0.09	0.25
2.61	0.90	2.90	2.11	2.00	1.49	14.62	0.08	0.25
2.60	0.82	2.81	1.95	2.03	1.38	14.63	0.08	0.25
1.92	0.63	2.00	1.28	1.54	1.43	12.88	0.07	0.25
2.26	0.70	2.18	1.52	1.57	1.54	13.47	0.07	0.25
2.04	0.75	2.09	1.42	1.53	1.50	14.77	0.07	0.25
1.89	0.73	1.78	0.98	1.48	1.47	14.22	0.07	0.25
2.40	0.98	2.67	2.11	1.65	1.10	14.13	0.08	2.00
2.38	0.89	2.71	2.21	1.58	1.12	13.47	0.08	2.00
2.13	0.84	2.66	2.02	1.73	1.07	13.47	0.08	2.00
2.91	0.75	2.48	1.52	1.97	0.97	12.37	0.08	2.00
1.68	0.67	1.93	1.52	1.20	0.99	12.80	0.08	2.00
1.90	0.72	2.10	1.58	1.40	1.00	12.80	0.08	2.00
1.41	0.40	2.32	1.92	1.32	0.90	10.66	0.07	2.00
1.55	0.37	2.39	1.90	1.45	0.88	11.34	0.07	2.00
1.69	0.48	2.46	2.07	1.34	0.84	11.49	0.07	2.00
1.36	0.30	2.14	1.96	0.87	0.81	11.13	0.09	2.00
1.39	0.27	2.10	1.89	0.92	0.81	11.13	0.09	2.00
1.30	0.28	2.07	1.84	0.95	0.82	11.13	0.09	2.00
